codigo,barras,descripcion,fecha_inicio,fecha_fin,porcentaje_descuento,sucursal,stock
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-16,2024-08-22,9.16,Nogoya Italia,607.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-16,2024-08-22,9.16,Hernandez,275.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-16,2024-08-22,9.16,Crespo,347.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-16,2024-08-22,9.16,Nogoya Sur,572.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Nogoya Italia,360.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Hernandez,261.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Hernandez,261.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Nogoya Italia,360.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-10,2024-08-10,9.45,Nogoya Sur,701.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-10,2024-08-10,9.45,Nogoya Italia,2.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-10,2024-08-10,9.45,Hernandez,337.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Nogoya Sur,916.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-10,2024-08-10,9.45,Crespo,613.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Nogoya Sur,916.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Crespo,363.0
9038.0,7790060023684,ACEITE DE GIRASOL COCINERO 1.5 LT                 ,2024-08-23,2024-08-23,16.36,Crespo,363.0
281659.0,7798316700815,"ACEITE DE GIRASOL LEGITIMO 1,5L.                  ",2024-08-24,2024-08-29,8.0,Hernandez,219.0
281659.0,7798316700815,"ACEITE DE GIRASOL LEGITIMO 1,5L.                  ",2024-08-24,2024-08-29,8.0,Nogoya Italia,222.0
281659.0,7798316700815,"ACEITE DE GIRASOL LEGITIMO 1,5L.                  ",2024-08-24,2024-08-29,8.0,Crespo,560.0
281659.0,7798316700815,"ACEITE DE GIRASOL LEGITIMO 1,5L.                  ",2024-08-24,2024-08-29,8.0,Nogoya Sur,1427.0
257862.0,7791293040745,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN            ,2024-08-02,2024-08-08,20.0,Crespo,17.0
257862.0,7791293040745,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN            ,2024-08-02,2024-08-08,20.0,Nogoya Italia,36.0
257862.0,7791293040745,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN            ,2024-08-02,2024-08-08,20.0,Hernandez,5.0
257862.0,7791293040745,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN            ,2024-08-02,2024-08-08,20.0,Nogoya Sur,49.0
256121.0,7791293040219,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO        ,2024-08-02,2024-08-08,20.0,Nogoya Sur,66.0
256121.0,7791293040219,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO        ,2024-08-02,2024-08-08,20.0,Nogoya Italia,38.0
256121.0,7791293040219,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO        ,2024-08-02,2024-08-08,20.0,Crespo,5.0
256121.0,7791293040219,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO        ,2024-08-02,2024-08-08,20.0,Hernandez,9.0
87075.0,7791293030937,ACONDICIONADOR SEDAL 340ML CERAMIDAS              ,2024-08-02,2024-08-08,20.0,Nogoya Sur,0.0
87075.0,7791293030937,ACONDICIONADOR SEDAL 340ML CERAMIDAS              ,2024-08-02,2024-08-08,20.0,Crespo,17.0
87075.0,7791293030937,ACONDICIONADOR SEDAL 340ML CERAMIDAS              ,2024-08-02,2024-08-08,20.0,Hernandez,8.0
87075.0,7791293030937,ACONDICIONADOR SEDAL 340ML CERAMIDAS              ,2024-08-02,2024-08-08,20.0,Nogoya Italia,57.0
262497.0,7791293042077,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C       ,2024-08-02,2024-08-08,20.0,Nogoya Italia,37.0
262497.0,7791293042077,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C       ,2024-08-02,2024-08-08,20.0,Hernandez,0.0
262497.0,7791293042077,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C       ,2024-08-02,2024-08-08,20.0,Nogoya Sur,0.0
262497.0,7791293042077,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C       ,2024-08-02,2024-08-08,20.0,Crespo,24.0
87076.0,7791293030913,ACONDICIONADOR SEDAL 340ML CREMA BALANCE          ,2024-08-02,2024-08-08,20.0,Nogoya Sur,44.0
87076.0,7791293030913,ACONDICIONADOR SEDAL 340ML CREMA BALANCE          ,2024-08-02,2024-08-08,20.0,Crespo,40.0
87076.0,7791293030913,ACONDICIONADOR SEDAL 340ML CREMA BALANCE          ,2024-08-02,2024-08-08,20.0,Hernandez,0.0
87076.0,7791293030913,ACONDICIONADOR SEDAL 340ML CREMA BALANCE          ,2024-08-02,2024-08-08,20.0,Nogoya Italia,36.0
262496.0,7791293042046,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A    ,2024-08-02,2024-08-08,20.0,Hernandez,8.0
