"codigo"|"fecha_inicio"|"fecha_fin"|"porcentaje"|"dias"|"habilitada"|"fecha_alta"|"incluyendo_total_detalle"|"acumulativa"
1|2023-07-01|2050-12-31|20.00|3|S|2023-09-12|0|0
2|2024-07-29|2024-09-30|25.00|0|S|2024-07-23|0|0
4|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
5|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
6|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
7|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
8|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
9|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
10|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
11|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
12|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
13|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
14|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
15|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
16|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
17|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
18|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
19|2023-07-18|2023-07-21|0.00|0|S|2023-07-19|1|1
20|2024-07-29|2024-09-30|25.00|0|S|2024-07-23|0|0
21|2024-07-29|2024-09-30|25.00|0|S|2024-07-23|0|0
23|2023-08-02|2023-08-19|0.00|0|S|2023-08-01|1|1
27|2023-08-09|2023-09-21|0.00|0|S|2023-08-08|1|1
28|2023-08-09|2023-09-21|0.00|0|S|2023-08-08|1|1
29|2023-08-14|2023-08-15|0.00|0|S|2023-08-12|1|1
33|2023-08-18|2023-09-01|0.00|0|S|2023-08-26|1|1
34|2023-08-18|2023-09-01|0.00|0|S|2023-08-26|1|1
35|2023-08-25|2023-08-26|0.00|0|S|2023-08-22|1|1
37|2023-08-25|2023-08-26|0.00|0|S|2023-08-23|1|1
38|2023-08-25|2023-08-26|0.00|0|S|2023-08-23|1|1
39|2023-08-25|2023-08-26|0.00|0|S|2023-08-23|1|1
40|2023-08-25|2023-08-26|0.00|0|S|2023-08-23|1|1
