"codigo"|"descripcion"|"descri_corta"
1|DESCUENTO FRUTAS Y VERDURAS|FV
2|LIQUIDACION INDUMENTARIA|LIQ
4|"2X1 DOLCA MIX"|DOL
5|"2X1 DOLCA MIX "|DOL
6|"2X1 DOLCA MIX"|DOL
7|"2X1 DOLCA MIX "|DOL
8|"2X1 DOLCA MIX"|DOL
9|"2X1 DOLCA MIX"|DOL
10|"2X1 DOLCA MIX"|DOL
11|"2X1 DOLCA MIX"|DOL
12|"2X1 DOLCA MIX"|DOL
13|"2X1 DOLCA MIX"|DOL
14|"2X1 DOLCA MIX"|DOL
15|"2X1 DOLCA MIX"|DOL
16|"2X1 DOLCA MIX"|DOL
17|"2X1 DOLCA MIX"|DOL
18|"2X1 DOLCA MIX"|DOL
19|"2X1 DOLCA MIX"|DOL
20|LIQUIDACION INDUMENTARIA |LIQ
21|LIQUIDACION INDUMENTARIA|LIQ
23|PROMO DIA DEL NIÑO LA SERE|LS
27|MAYONESA DE FIESTA 475G LLEVA 2 Y 2DO PAGA LA MITA|MAY
28|MAYONESA DE FIESTA 950G LLEVA 2 Y 2DO PAGA LA MITA|MAY
29|"2X1 EN DULCE DE LECHE REPOS.PRIMER PRECIO"|PP
33|CERVEZA WARSTEINER 1 LT 2X1|CER
34|CERVEZA LESTER 330ML 2X1|CER
35|VINO TINTO CHACABUCO CAB.750ML 3X2|VIN
37|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
38|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
39|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
40|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
41|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
42|BUDIN LANIN 180G LLEVA 2 Y2DO PAGA LA MITAD|BUD
43|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
44|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
45|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
46|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
47|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
48|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
49|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
50|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
51|BUDIN LANIN 180G LLEVA 2 Y 2DO PAGA LA MITAD|BUD
52|"2X1 DR LEMON CON VODKA NARANJA 1LT"|DR
53|"2X1 DULCE DE LECHE PRIMER PRECIO 400G CLASICO"|CLA
54|LAVANDINA CLORIN 5L 2X1|CLO
55|GALLETITAS OREO 118G LLEVA 2 Y 2DA PAGA LA MITAD|ORE
57|DESODORANTE AXE 150ML LLEVA 2 Y 2DO PAGA LA MITAD|AXE
58|DESODORANTE AXE 150ML LLEVA 2 Y 2DO PAGA LA MITAD|AXE
59|DESODORANTE AXE 150ML LLEVA 2 Y 2DO PAGA LA MITAD|AXE
