"codigo"|"item"|"seccion"|"departamento"|"grupo"|"marca"|"articulo"|"porcentaje"
1|1|3|3|-1|3495|-1|0.00
2|1|6|10|403|-1|-1|0.00
4|1|3|2|23|3457|281106|100.00
4|2|3|2|23|3457|97051|0.00
5|1|3|2|23|3457|281603|100.00
5|2|3|2|23|3457|97051|0.00
6|1|3|2|23|3457|92569|100.00
6|2|3|2|23|3457|97051|0.00
7|1|3|2|23|3457|97051|0.00
7|2|3|2|23|3457|97051|100.00
8|1|3|2|23|3457|281106|0.00
8|2|3|2|23|3457|97051|100.00
9|1|3|2|23|3457|281603|100.00
9|2|3|2|23|3457|281106|0.00
10|1|3|2|23|3457|281106|0.00
10|2|3|2|23|3457|92569|100.00
11|1|3|2|23|3457|281106|0.00
11|2|3|2|23|3457|281106|100.00
12|1|3|2|23|3457|281603|0.00
12|2|3|2|23|3457|97051|100.00
13|1|3|2|23|3457|281603|0.00
13|2|3|2|23|3457|281106|100.00
14|1|3|2|23|3457|281603|0.00
14|2|3|2|23|3457|92569|100.00
15|1|3|2|23|3457|281603|0.00
15|2|3|2|23|3457|281603|100.00
16|1|3|2|23|3457|92569|0.00
16|2|3|2|23|3457|97051|100.00
17|1|3|2|23|3457|281106|100.00
17|2|3|2|23|3457|92569|0.00
18|1|3|2|23|3457|281603|100.00
18|2|3|2|23|3457|92569|0.00
19|1|3|2|23|3457|92569|0.00
19|2|3|2|23|3457|92569|100.00
20|1|6|10|401|-1|-1|0.00
21|1|6|10|405|-1|-1|0.00
23|1|3|11|181|3563|-1|0.00
27|1|3|2|131|-1|259015|0.00
27|2|3|2|131|-1|259015|50.00
28|1|3|2|131|-1|291027|0.00
28|2|3|2|131|-1|291027|50.00
29|1|3|2|47|-1|255975|0.00
29|2|3|2|47|-1|255975|100.00
33|1|3|17|29|-1|407825|100.00
33|2|3|17|29|-1|407825|0.00
34|1|3|17|7088|-1|283814|100.00
34|2|3|17|7088|-1|283814|0.00
35|1|3|17|222|-1|95693|0.00
35|2|3|17|222|-1|95693|0.00
35|3|3|17|222|-1|95693|100.00
37|1|3|2|183|141|289162|0.00
37|2|3|2|183|141|289164|50.00
38|1|3|2|183|141|289162|0.00
38|2|3|2|183|141|289163|50.00
39|1|3|2|183|141|289162|0.00
39|2|3|2|183|141|289165|50.00
40|1|3|2|183|141|289162|0.00
40|2|3|2|183|141|290005|50.00
41|1|3|2|183|141|289162|0.00
41|2|3|2|183|141|289162|50.00
42|1|3|2|183|141|289163|0.00
42|2|3|2|183|141|289164|50.00
43|1|3|2|183|141|289163|0.00
43|2|3|2|183|141|289165|50.00
44|1|3|2|183|141|289163|0.00
44|2|3|2|183|141|290005|50.00
45|1|3|2|183|141|289163|0.00
45|2|3|2|183|141|289163|50.00
46|1|3|2|183|141|289164|0.00
46|2|3|2|183|141|289165|50.00
47|1|3|2|183|141|289164|0.00
47|2|3|2|183|141|290005|50.00
48|1|3|2|183|141|289164|0.00
48|2|3|2|183|141|289164|50.00
49|1|3|2|183|141|289165|0.00
49|2|3|2|183|141|290005|50.00
50|1|3|2|183|141|289165|0.00
50|2|3|2|183|141|289165|50.00
51|1|3|2|183|141|290005|0.00
51|2|3|2|183|141|290005|50.00
52|1|3|17|12|3050|211744|100.00
52|2|3|17|12|3050|211744|0.00
53|1|3|2|47|3089|255976|0.00
53|2|3|2|47|3089|255976|100.00
54|1|3|12|107|-1|295899|100.00
54|2|3|12|107|-1|295899|0.00
55|1|3|2|71|3658|261403|0.00
55|2|3|2|71|3658|261403|50.00
57|1|3|9|7079|3603|69748|50.00
57|2|3|9|7079|3603|35903|0.00
58|1|3|9|7079|3603|35903|0.00
58|2|3|9|103|3603|212705|50.00
59|1|3|9|7079|3603|35903|0.00
59|2|3|9|7079|3603|710802|50.00
60|1|3|9|7079|3603|35903|0.00
60|2|3|9|7079|3603|279394|50.00
61|1|3|9|7079|3603|35903|0.00
61|2|3|9|7079|3603|223526|50.00
62|1|3|9|7079|3603|35903|0.00
62|2|3|9|7079|3603|81797|50.00
63|1|3|9|7079|3603|35903|0.00
63|2|3|9|7079|3603|19695|50.00
64|1|3|9|7079|3603|35903|0.00
64|2|3|9|7079|3603|35903|50.00
66|1|3|9|7079|3603|69748|0.00
66|2|3|9|7079|3603|710802|50.00
67|1|3|9|7079|3603|69748|0.00
67|2|3|9|7079|3603|279394|50.00
68|1|3|9|7079|3603|69748|0.00
68|2|3|9|103|3603|212705|50.00
69|1|3|9|7079|3603|69748|0.00
69|2|3|9|7079|3603|223526|50.00
70|1|3|9|7079|3603|69748|0.00
70|2|3|9|7079|3603|81797|50.00
71|1|3|9|7079|3603|69748|0.00
71|2|3|9|7079|3603|19695|50.00
72|1|3|9|7079|3603|69748|0.00
72|2|3|9|7079|3603|69748|50.00
73|1|3|9|103|3603|212705|0.00
73|2|3|9|7079|3603|710802|50.00
74|1|3|9|103|3603|212705|0.00
74|2|3|9|7079|3603|279394|50.00
75|1|3|9|103|3603|212705|0.00
75|2|3|9|7079|3603|223526|50.00
76|1|3|9|103|3603|212705|0.00
76|2|3|9|7079|3603|81797|50.00
77|1|3|9|103|3603|212705|0.00
77|2|3|9|7079|3603|19695|50.00
78|1|3|9|103|3603|212705|0.00
78|2|3|9|103|3603|212705|50.00
79|1|3|9|7079|3603|710802|0.00
79|2|3|9|7079|3603|279394|50.00
80|1|3|9|7079|3603|710802|0.00
80|2|3|9|7079|3603|223526|50.00
81|1|3|9|7079|3603|710802|0.00
81|2|3|9|7079|3603|81797|50.00
82|1|3|9|7079|3603|710802|0.00
82|2|3|9|7079|3603|19695|50.00
83|1|3|9|7079|3603|710802|0.00
83|2|3|9|7079|3603|710802|50.00
84|1|3|9|7079|3603|279394|0.00
84|2|3|9|7079|3603|223526|50.00
85|1|3|9|7079|3603|279394|0.00
85|2|3|9|7079|3603|81797|50.00
86|1|3|9|7079|3603|279394|0.00
86|2|3|9|7079|3603|19695|50.00
87|1|3|9|7079|3603|279394|0.00
87|2|3|9|7079|3603|279394|50.00
88|1|3|9|7079|3603|223526|0.00
88|2|3|9|7079|3603|81797|50.00
89|1|3|9|7079|3603|223526|0.00
89|2|3|9|7079|3603|19695|50.00
90|1|3|9|7079|3603|223526|0.00
90|2|3|9|7079|3603|223526|50.00
91|1|3|9|7079|3603|81797|0.00
91|2|3|9|7079|3603|19695|50.00
92|1|3|9|7079|-1|81797|0.00
92|2|3|9|7079|-1|81797|50.00
93|1|3|9|7079|3603|19695|0.00
93|2|3|9|7079|3603|19695|50.00
94|1|3|2|131|-1|21423|0.00
94|2|3|2|131|-1|21423|50.00
95|1|3|2|7096|3485|299542|0.00
95|2|3|2|7096|3485|299540|50.00
96|1|3|2|7096|3485|299542|0.00
96|2|3|2|7096|3485|299542|50.00
97|1|3|2|7096|3485|299540|0.00
97|2|3|2|7096|3485|299540|50.00
102|1|3|17|7098|-1|-1|50.00
102|2|3|17|7098|-1|-1|0.00
103|1|3|2|131|3723|10124|100.00
103|2|3|2|131|3723|10124|0.00
104|1|3|2|203|3333|370282|0.00
104|2|3|2|203|3333|370282|100.00
105|1|3|2|24|3333|370244|0.00
105|2|3|2|24|3333|370244|100.00
106|1|3|2|131|3152|406631|0.00
106|2|3|2|131|3152|406631|100.00
107|1|3|2|24|-1|370244|0.00
107|2|3|2|203|3333|370282|100.00
108|1|3|12|184|-1|211621|0.00
108|2|3|12|184|-1|211621|50.00
109|1|3|2|100|3222|795249|0.00
109|2|3|2|100|3222|795249|100.00
110|1|3|2|24|3364|296676|100.00
110|2|3|2|24|3364|296676|0.00
111|1|3|2|24|3364|296676|0.00
111|2|3|2|24|3364|296700|100.00
112|1|3|2|24|3364|296676|0.00
112|2|3|2|24|3364|296697|100.00
113|1|3|2|24|3364|296676|0.00
113|2|3|2|24|3364|288767|100.00
114|1|3|2|24|3364|296700|0.00
114|2|3|2|24|3364|296697|100.00
115|1|3|2|24|3364|296700|0.00
115|2|3|2|24|3364|288767|100.00
116|1|3|2|24|3364|296700|0.00
116|2|3|2|24|3364|296700|100.00
117|1|3|2|24|3364|296697|0.00
117|2|3|2|24|3364|288767|100.00
118|1|3|2|24|3364|296697|0.00
118|2|3|2|24|3364|296697|100.00
119|1|3|2|24|-1|288767|0.00
119|2|3|2|24|-1|288767|100.00
120|1|3|2|7096|3485|267475|0.00
120|2|3|2|7096|3485|267475|0.00
120|3|3|2|7096|3485|267475|100.00
121|1|3|2|194|3333|257756|0.00
121|2|3|2|194|3333|301829|50.00
122|1|3|2|194|3333|257756|0.00
122|2|3|2|194|3333|301831|50.00
123|1|3|2|194|3333|257756|0.00
123|2|3|2|194|3333|260721|50.00
124|1|3|2|194|3333|257756|0.00
124|2|3|2|194|3333|257756|50.00
125|1|3|2|194|3333|301829|0.00
125|2|3|2|194|3333|301831|50.00
126|1|3|2|194|3333|301829|0.00
126|2|3|2|194|3333|260721|50.00
127|1|3|2|194|3333|301829|0.00
127|2|3|2|194|3333|301829|50.00
128|1|3|2|194|3333|301831|0.00
128|2|3|2|194|3333|260721|50.00
129|1|3|2|194|3333|301831|0.00
129|2|3|2|194|3333|301831|50.00
130|1|3|2|194|3333|260721|0.00
130|2|3|2|194|3333|260721|50.00
131|1|3|2|1|243|251304|0.00
131|2|3|2|1|243|251304|100.00
132|1|3|2|1|243|272217|0.00
132|2|3|2|1|243|272217|100.00
133|1|3|2|1|243|251305|0.00
133|2|3|2|1|243|251305|100.00
135|1|3|17|12|3226|93593|0.00
135|2|3|17|12|3226|93593|50.00
136|1|3|17|12|3050|74846|0.00
136|2|3|17|12|3050|74846|50.00
137|1|3|2|7096|3485|299542|0.00
137|2|3|2|7096|3485|299540|50.00
138|1|3|2|7096|3485|299540|0.00
138|2|3|2|7096|3485|299540|50.00
139|1|3|2|7096|3485|299542|0.00
139|2|3|2|7096|3485|299542|50.00
140|1|3|17|29|3551|94410|0.00
140|2|3|17|29|3551|94410|0.00
140|3|3|17|29|3551|94410|100.00
141|1|3|2|183|141|279356|0.00
141|2|3|2|183|141|279356|100.00
142|1|3|2|119|3170|223332|0.00
142|2|3|2|119|3170|223332|100.00
143|1|3|2|119|3170|223330|0.00
143|2|3|2|119|3170|223330|100.00
144|1|3|2|70|3485|286166|0.00
144|2|3|2|70|3485|286166|100.00
145|1|3|2|7096|3485|219756|0.00
145|2|3|2|7096|3485|219756|50.00
146|1|3|17|12|3226|93593|0.00
146|2|3|17|12|3226|93593|50.00
147|1|3|17|5|-1|206451|100.00
147|2|3|17|5|-1|206451|0.00
148|1|3|17|74|3096|298474|100.00
148|2|3|17|74|3096|298474|0.00
149|1|3|11|108|3813|280337|0.00
149|2|3|11|108|3813|280337|50.00
150|1|3|14|274|-1|10056|0.00
150|2|3|14|274|-1|10056|50.00
151|1|3|17|12|3226|93593|0.00
151|2|3|17|12|3226|93593|70.00
152|1|3|11|181|3762|290909|0.00
152|2|3|11|181|3762|283525|50.00
153|1|3|11|181|3762|283525|0.00
153|2|3|11|181|3762|283525|50.00
154|1|3|11|181|3762|290909|0.00
154|2|3|11|181|3762|290909|50.00
155|1|3|17|7098|-1|-1|0.00
155|2|3|17|7098|-1|-1|50.00
