"codigo"|"descripcion"|"departamento"|"seccion"|"rubro"|"habil"
0|SIN GRUPO|0|3|1|S
0|SIN GRUPO|0|5|1|S
0|SIN GRUPO|0|7|2|S
0|SIN GRUPO|0|8|2|S
0|SIN GRUPO|0|28|6|S
0|SIN GRUPO|0|35|1|S
0|SIN GRUPO|0|48|4|S
0|SIN GRUPO|0|56|5|S
0|SIN GRUPO|0|96|5|S
0|SIN GRUPO|1|3|1|S
0|SIN GRUPO|1|5|1|S
0|SIN GRUPO|1|7|2|S
0|SIN GRUPO|1|8|2|S
0|SIN GRUPO|1|14|3|S
0|SIN GRUPO|1|35|1|S
0|SIN GRUPO|1|48|4|S
0|SIN GRUPO|2|3|1|S
0|SIN GRUPO|2|7|2|S
0|SIN GRUPO|2|8|2|S
0|SIN GRUPO|2|14|3|S
0|SIN GRUPO|2|35|1|S
0|SIN GRUPO|2|48|4|S
0|SIN GRUPO|3|3|1|S
0|SIN GRUPO|3|8|2|S
0|SIN GRUPO|3|14|3|S
0|SIN GRUPO|3|35|1|S
0|SIN GRUPO|3|48|4|S
0|SIN GRUPO|4|7|2|S
0|SIN GRUPO|4|8|2|S
0|SIN GRUPO|4|10|1|S
0|SIN GRUPO|4|14|3|S
0|SIN GRUPO|4|35|1|S
0|SIN GRUPO|4|48|4|S
0|SIN GRUPO|5|7|2|S
0|SIN GRUPO|5|8|2|S
0|SIN GRUPO|5|10|1|S
0|SIN GRUPO|5|14|3|S
0|SIN GRUPO|5|48|4|S
0|SIN GRUPO|6|5|1|S
0|SIN GRUPO|6|7|2|S
0|SIN GRUPO|6|8|2|S
0|SIN GRUPO|7|5|1|S
0|SIN GRUPO|7|7|2|S
0|SIN GRUPO|7|8|2|S
0|SIN GRUPO|7|14|3|S
0|SIN GRUPO|7|48|4|S
0|SIN GRUPO|8|5|1|S
0|SIN GRUPO|8|7|2|S
0|SIN GRUPO|8|8|2|S
0|SIN GRUPO|8|14|3|S
0|SIN GRUPO|8|48|4|S
0|SIN GRUPO|9|3|1|S
0|SIN GRUPO|9|7|2|S
0|GRUPO0|9|8|2|S
0|SIN GRUPO|9|48|4|S
0|SIN GRUPO|10|6|1|S
