"barras"|"precio"|"operador"|"fecha_inicio"|"fecha_fin"|"observaciones"|"fecha"|"hora"|"vigente"|"clase"
"7790670050957"|1750.00|ROMANG|2024-07-02|2024-07-31| |2024-07-01|07:36:39|N|1
"7798060852600"|1500.00|ROMANG|2024-07-02|2024-07-19| |2024-07-01|08:13:38|N|1
"7790387015324"|1450.00|ADRIANR|2024-07-02|2024-07-13| |2024-07-01|11:45:12|N|2
"7790387014624"|1450.00|ADRIANR|2024-07-02|2024-07-13| |2024-07-01|11:45:13|N|2
"7793704000911"|1590.00|ADRIANR|2024-07-02|2024-07-13| |2024-07-01|11:45:22|N|2
"7798060850095"|1100.00|ROMANG|2024-07-02|2024-07-05| |2024-07-01|12:33:55|N|1
"6000001052798"|5490.00|ROMANG|2024-07-02|2024-07-22| |2024-07-01|13:44:04|N|1
"6000001040368"|6100.00|ROMANG|2024-07-02|2024-07-22| |2024-07-01|13:44:14|N|1
"6000001039232"|6100.00|ROMANG|2024-07-02|2024-07-22| |2024-07-01|13:44:23|N|1
"7790360967237"|998.00|ROMANG|2024-07-02|2024-07-05| |2024-07-01|13:47:50|N|1
"7795711004258"|1275.00|ROMANG|2024-07-02|2024-07-11| |2024-07-01|14:50:27|N|1
"0763571670491"|998.00|ROMANG|2024-07-02|2024-07-12| |2024-07-01|14:53:47|N|1
"0724751034427"|3500.00|ROMANG|2024-07-02|2024-07-12| |2024-07-01|14:54:36|N|1
"0721450715909"|1300.00|ROMANG|2024-07-02|2024-07-12| |2024-07-01|14:55:25|N|1
"0763571861868"|3500.00|ROMANG|2024-07-02|2024-07-12| |2024-07-01|14:56:17|N|1
"0763571861837"|2250.00|ROMANG|2024-07-02|2024-07-12| |2024-07-01|14:56:41|N|1
"7790150696828"|3990.00|ADRIANR|2024-07-03|2024-07-30| |2024-07-02|07:45:35|N|1
"7794000005426"|690.00|ADRIANR|2024-07-03|2024-07-30| |2024-07-02|07:46:19|N|1
"7798123210354"|5000.00|DARIOE|2024-07-03|2024-07-31| |2024-07-02|15:53:51|N|1
"7798123210385"|10000.00|DARIOE|2024-07-03|2024-07-31| |2024-07-02|15:54:03|N|1
"7794122001870"|3345.00|DARIOE|2024-07-03|2024-07-31| |2024-07-02|16:07:58|N|1
"0000000230146"|3050.00|DARIOE|2024-07-03|2024-07-31| |2024-07-02|16:08:13|N|1
"0000077917188"|1215.70|DARIOE|2024-07-03|2024-07-31| |2024-07-02|16:08:29|N|1
"0000077906731"|1525.85|DARIOE|2024-07-03|2024-07-31| |2024-07-02|16:09:04|N|1
"7792280000513"|990.00|ADRIANR|2024-07-04|2024-09-12| |2024-07-03|08:23:07|N|1
"7791290795518"|5808.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:34:56|N|1
"7791290792838"|5808.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:35:07|N|1
"7791290790926"|5808.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:35:17|N|1
"7791290791770"|1598.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:35:31|N|1
"7791290795129"|5038.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:35:50|N|1
"7791290795136"|5038.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:35:51|N|1
"7791290795495"|4760.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:36:11|N|1
"7891150067721"|4760.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:36:22|N|1
"7791290007901"|1436.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:36:37|N|1
"7791290782754"|1436.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:36:44|N|1
"7791290677791"|1436.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:36:55|N|1
"7791290795792"|1918.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:37:13|N|1
"7791290795785"|1918.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:37:35|N|1
"7791290795778"|1918.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:37:36|N|1
"7791290792388"|1016.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:37:59|N|1
"7791290795600"|1016.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:38:11|N|1
"7791290795624"|1016.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:38:29|N|1
"7791293020280"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:38:42|N|1
"7791293028781"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:38:54|N|1
"7791293034737"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:39:04|N|1
"7791293022130"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:39:17|N|1
"7791293995755"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:39:27|N|1
"7791293044040"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:39:42|N|1
"7791293035253"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:39:51|N|1
"7791293022437"|1695.75|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:40:19|N|1
"7791293040875"|2182.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:41:03|N|1
"7791293040189"|2182.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:41:11|N|1
"7791293030760"|2182.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:41:16|N|1
"7791293030777"|2182.50|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|08:41:18|N|1
