"codigo"|"descripcion"|"habil"|"rubro"|"seccion"
0|SIN MARCA|S|0|0
1|AEROCOR|S|1|0
2|FAESPO SRL|S|1|0
3|TEKNIPLANT|S|1|0
4|RODRIFLOR|S|1|0
5|VER MARCA|S|1|0
6|RODRIFLOR|S|1|0
7|OTRA PRUEBA|S|1|0
8|OTRA PRUEBA|S|1|0
9|DELTA IMPORTACIONES|S|1|0
10|DUAL POWER|S|1|0
11|NUEVA 11 VET|S|3|0
12|NUEVA 12 COMB|S|4|0
13|NUEVA 13 SERV|S|5|0
14|RODRIFLOR|S|1|0
15|FORNAX|S|2|0
16|MOLDE|S|1|0
17|ALMANDOZ|S|1|0
18|AEI|S|2|0
19|DAVID ANDREA |S|1|0
20|PELUCHES MIMOSO|S|1|0
21|SHADE ONLY SPORT|S|1|0
22|CRUZ SILVA MEDIN GILMER|S|1|0
23|MATTE CRACK|S|1|0
24|INDIKIDS SRL|S|1|0
25|HUDSON|S|1|0
26|CUELLO MAYER MARIEL EUGENIA|S|1|0
27|PASTAFACIL|S|2|0
28|MOLE|S|1|0
29|WOODEN|S|1|0
30|SAINT GOTTARD|S|1|0
31|LA LECHERITA|S|1|0
32|CONAMOR|S|1|0
33|NEPAL OBJETOS SRL|S|1|0
34|EN TU CASA|S|1|0
35|CITISOL SA|S|1|0
36|ARTISTAS CRESPO|S|1|0
37|UNOMOTOR|S|2|0
38|ASER FILTROS|S|2|0
39|MARSHALL GROUP SRL|S|1|0
40|BELLO ABRIL|S|1|0
41|NANCY CURA|S|1|0
42|HIDRO SEERY|S|2|0
43|DISTRIBUIDORA PUNTO COM SAS|S|1|0
44|TELPLAST |S|2|0
45|REOPEN S.A.|S|1|0
46|NATURAL SEED|S|1|0
47|PIRVAR|S|2|0
48|PIERABELLA|S|2|0
49|COMPLOT MG|S|1|0
50|INYSA|S|1|0
51|INCEL|S|2|0
52|KITCHEN WEST|S|2|0
53|METAPLAST|S|2|0
54|BODEGA LAS PERDICES|S|1|0
55|ROMA HERRAJES|S|2|0
56|MISSI SABRINA NOEMI|S|1|0
57|CICCARELLI DECORACION|S|1|0
58|VELILLA MONTERO|S|1|0
59|CASA STELLA MARIS|S|1|0
60|MAZZA MARIA DEL CARMEN|S|1|0
61|MAGH|S|1|0
62|BROOMY|S|1|0
63|BORDIGONI HNOS. SA|S|1|0
64|COLECCION ABRIL|S|1|0
65|ALEVAY|S|1|0
66|TEXTIL PAMPENA|S|1|0
67|FANINEE|S|1|0
68|WUAU|S|1|0
69|LEE JUNG KYUN|S|1|0
70|CONDESA|S|1|0
71|AIRWID|S|1|0
72|DURACELL|S|1|0
73|MARECHIARE|S|1|0
74|CIMARRON|S|1|0
75|CURA TE ALMA|S|1|0
76|PAMPA VIDA S.A.|S|1|0
77|CONDRAC|S|1|0
78|LAS JOAQUINAS|S|1|0
79|MONA|S|1|0
80|ROSARIO IMPORT|S|2|0
81|BODEGA CENTURION|S|1|0
82|COLORES SOLIDOS|S|2|0
83|SPG IMPORT SRL|S|1|0
84|CRUZ SILVA MEDIN GILMER|S|1|0
85|BYF DECO S.A.|S|1|0
86|INTERMOBILI|S|1|0
87|REPACCS|S|2|0
88|MAGNOLIA|S|1|0
89|TAUROC|S|2|0
90|BODEGA BIANCHI|S|1|0
91|PIERABELLA|S|2|0
92|GUIWI SRL|S|1|0
93|CARNES DEL INTERIOR|S|1|0
94|CIMARRON|S|1|0
95|CESSIRA|S|1|0
96|INGRESE DESCRIPCION|S|1|0
97|FRIGORIFICO LA MORENA|S|1|0
98|SENGER CLAUDIO|S|1|0
99|LACTEOS CONOSUR|S|1|0
100|BVS SERVICIOS S.A.|S|2|0
101|PANIF. EL NONO GRINGO|S|1|0
102|ALBOR S.R.L.|S|1|0
103|PAMPA FOOD|S|1|0
104|ALFAJORES ROFAN|S|1|0
105|PANIFICACION FAUTINO MERNES|S|1|0
106|SHAFEMODA SA|S|1|0
107|CHIARA|S|1|0
108|KALCLA|S|1|0
109|LUZ CLARA|S|1|0
110|PANIF. ALEPAM|S|1|0
111|NUESTROS SABORES SNACK|S|1|0
112|SUAGRO SRL|S|1|0
113|CARPINTERIA RIVADAVIA|S|2|0
114|CIA. LUARCA|S|1|0
115|SUPERFIL|S|2|0
116|ARTENTINO|S|1|0
117|BILLIKEN|S|1|0
118|NOGOPAINT|S|2|0
119|MF HNOS SA|S|1|0
120|FLORALEN|S|1|0
121|MAYPER|S|2|0
122|SCURI KARINA ASTRID|S|1|0
123|ELECTRO RBB|S|2|0
124|ALIMENTOS TANDIL S.A.|S|1|0
125|ERGOS CAÑOS|S|2|0
126|RODRIGO SONDON|S|1|0
127|MANI KING|S|1|0
128|GORDILLO JUEGOS|S|1|0
129|DUFFY|S|1|0
130|NOT CO|S|1|0
