CodigoInterno,Descripcion,DescripcionMarca,Total de Ventas por Unidad,Sucursal,Fecha
102119,ACHURA CORAZON KG.,CARNE VACUNA,"15,859",Crespo,45505
102119,ACHURA CORAZON KG.,CARNE VACUNA,"2,114",Nogoya Sur,45505
102119,ACHURA CORAZON KG.,CARNE VACUNA,"16,423",Crespo,45506
102119,ACHURA CORAZON KG.,CARNE VACUNA,"9,548",Nogoya Sur,45506
102119,ACHURA CORAZON KG.,CARNE VACUNA,"6,136",Hernandez,45506
102119,ACHURA CORAZON KG.,CARNE VACUNA,"5,818",Nogoya Italia,45506
102119,ACHURA CORAZON KG.,CARNE VACUNA,"13,873",Crespo,45507
102119,ACHURA CORAZON KG.,CARNE VACUNA,"4,204",Nogoya Sur,45507
102119,ACHURA CORAZON KG.,CARNE VACUNA,"0,438",Nogoya Italia,45507
102119,ACHURA CORAZON KG.,CARNE VACUNA,"2,236",Nogoya Sur,45509
102119,ACHURA CORAZON KG.,CARNE VACUNA,"1,56",Nogoya Italia,45509
102119,ACHURA CORAZON KG.,CARNE VACUNA,"1,174",Hernandez,45509
102119,ACHURA CORAZON KG.,CARNE VACUNA,"7,602",Nogoya Sur,45510
102119,ACHURA CORAZON KG.,CARNE VACUNA,"4,808",Hernandez,45510
102119,ACHURA CORAZON KG.,CARNE VACUNA,"11,102",Crespo,45512
102119,ACHURA CORAZON KG.,CARNE VACUNA,"4,694",Hernandez,45512
102119,ACHURA CORAZON KG.,CARNE VACUNA,"15,856",Nogoya Sur,45513
102119,ACHURA CORAZON KG.,CARNE VACUNA,"8,174",Crespo,45513
102119,ACHURA CORAZON KG.,CARNE VACUNA,"5,032",Nogoya Italia,45513
102119,ACHURA CORAZON KG.,CARNE VACUNA,"0,782",Hernandez,45513
102119,ACHURA CORAZON KG.,CARNE VACUNA,"20,41",Crespo,45514
102119,ACHURA CORAZON KG.,CARNE VACUNA,"5,776",Nogoya Sur,45514
102119,ACHURA CORAZON KG.,CARNE VACUNA,"2,51",Nogoya Italia,45514
102119,ACHURA CORAZON KG.,CARNE VACUNA,"1,7",Hernandez,45514
102119,ACHURA CORAZON KG.,CARNE VACUNA,"0,464",Hernandez,45516
102119,ACHURA CORAZON KG.,CARNE VACUNA,"0,37",Nogoya Sur,45516
102119,ACHURA CORAZON KG.,CARNE VACUNA,"9,71",Nogoya Sur,45517
102119,ACHURA CORAZON KG.,CARNE VACUNA,"6,5",Hernandez,45518
102119,ACHURA CORAZON KG.,CARNE VACUNA,"3,032",Nogoya Sur,45518
102119,ACHURA CORAZON KG.,CARNE VACUNA,"12,552",Crespo,45519
