CódigoProducto,Descripción,FechaInicio_Oferta,FechaFin_Oferta,Precio,Sucursal
0000000094727,CREMA LECHE DISTRI CREM POTE                      ,2024-08-22,2024-08-27,3100.0,1
0000000100138,EMPAQUE MIXTO SIN CAROZO KG. 11158                ,2024-08-09,2024-08-15,9950.0,1
0000000100207,CHIPA KG.                                         ,2024-08-23,2024-08-24,8500.0,1
0000000100209,CREMONA KG.                                       ,2024-08-09,2024-08-10,4900.0,1
0000000100329,MARIA LUISA CREMOSO HORMA KG.                     ,2024-08-02,2024-08-08,5998.0,1
0000000102490,CHORIZO FRESCO ESPECIAL KG.                       ,2024-08-09,2024-08-10,5750.0,1
0000000102490,CHORIZO FRESCO ESPECIAL KG.                       ,2024-08-23,2024-08-24,6400.0,1
0000000102564,QUESO TREMBLAY CREMOSO KG.                        ,2024-08-22,2024-08-23,6890.0,1
0000000102721,CHORIZO FRESCO ROSCA KG.                          ,2024-08-09,2024-08-10,5750.0,1
0000000102721,CHORIZO FRESCO ROSCA KG.                          ,2024-08-23,2024-08-24,6400.0,1
0000000102746,GRANOLA CROCANTE KG                               ,2024-08-16,2024-08-22,6200.0,1
0000000102835,CEREAL GRANIX SKARCHITOS KG.                      ,2024-08-23,2024-08-29,3736.0,1
0000000213392,PROMO ROTISERIA                                   ,2024-08-09,2024-08-10,9900.0,1
0000000213392,PROMO ROTISERIA                                   ,2024-08-30,2024-08-31,7980.0,1
0000000250014,PALETA COCIDA LAR 250G.                           ,2024-08-02,2024-08-03,1720.0,1
0000000250014,PALETA COCIDA LAR 250G.                           ,2024-08-09,2024-08-10,1720.0,1
0000000250014,PALETA COCIDA LAR 250G.                           ,2024-08-15,2024-08-16,1990.0,1
0000000250014,PALETA COCIDA LAR 250G.                           ,2024-08-23,2024-08-24,1990.0,1
0000000250036,QUESO MARIA LUISA BARRA 250G.                     ,2024-08-09,2024-08-15,1925.0,1
0000000250037,QUESO MARIA LUISA CREMOSO 500G.                   ,2024-08-02,2024-08-08,2999.0,1
0000000346224,COCINA ORBIS PLANA BCA. 838BC4M                   ,2024-08-20,2024-08-31,628500.0,1
0000078923355,DESODORANTE REXONA R.ON FEM NUTRTITIVE 50ML       ,2024-08-09,2024-08-15,1352.0,1
0000078923454,DESODORANTE REXONA R.ON MEN V8 50ML               ,2024-08-09,2024-08-15,1352.0,1
0000078925472,DESODORANTE REXONA R.ON MEN INVISIBLE 50ML        ,2024-08-09,2024-08-15,1352.0,1
0000078926523,DESODORANTE REXONA ROOL-ON 0% ACTIVE EMOTION      ,2024-08-09,2024-08-15,1352.0,1
0070847032861,BEBIDA ENERGIZANTE MONSTER ULTRA 473ML.LATA       ,2024-08-15,2024-08-16,1436.0,1
0614143438820,SAL P/PARRILLA P.PRECIO BOLSA 400G.               ,2024-08-17,2024-08-22,849.0,1
0614143438899,CONDIMENTO PARRISAL 400G. BOLSA                   ,2024-08-16,2024-08-22,849.0,1
0656750783924,PASTA DE MANI ENTRENUTS STEVIA 380G.              ,2024-08-02,2024-08-08,2490.0,1
0656750783979,PASTA DE MANI ENTRENUTS MIX SEMILLAS 370G.        ,2024-08-02,2024-08-08,2490.0,1
0656750783986,PASTA DE MANI ENTRENUTS AHUMADA 370G.             ,2024-08-02,2024-08-08,2490.0,1
0656750817742,POSTRE FELICES LAS VACAS 170G.CHOCOLATE           ,2024-08-07,2024-08-12,975.0,1
0736684208707,PASTA DE MANI ENTRENUTS NATURAL 370G.             ,2024-08-02,2024-08-08,2490.0,1
0736684208714,PASTA DE MANI ENTRENUTS CACAO 380G.               ,2024-08-02,2024-08-08,2490.0,1
0736684208721,PASTA DE MANI ENTRENUTS COCO 380G.                ,2024-08-02,2024-08-08,2490.0,1
0736684208738,PASTA DE MANI ENTRENUTS CROCANTE 380G.            ,2024-08-02,2024-08-08,2490.0,1
1007084701235,BEBIDA ENERGIZANTE MONSTER GREEN 473ML.LATA       ,2024-08-15,2024-08-16,1436.0,1
1007084702751,BEBIDA ENERGIZANTE MONSTER VAL ROSSI 473ML.LATA   ,2024-08-15,2024-08-16,1436.0,1
1007084703123,BEBIDA ENERGIZANTE MONSTER WATERMELON 473ML.LATA  ,2024-08-15,2024-08-16,1436.0,1
1007084703475,BEBIDA ENERGIZANTE MONSTER LOCO 473ML.LATA        ,2024-08-15,2024-08-16,1436.0,1
1007084703536,BEBIDA ENERGIZANTE MONSTER ULTRA P 473ML.LATA     ,2024-08-15,2024-08-16,1436.0,1
