codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,cantidad_ventas_normal,fechas_normal,aumento_ventas,cantidad_dias
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-23,2024-08-23,916.0,64,39,2024-08-01,64.1,1
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-16,2024-08-22,572.0,317,228,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",39.04,5
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-10,2024-08-10,701.0,29,39,2024-08-01,-25.64,1
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Italia,2024-08-23,2024-08-23,360.0,90,33,2024-08-01,172.73,1
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Italia,2024-08-16,2024-08-22,607.0,247,152,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",62.5,5
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-23,2024-08-23,261.0,8,40,2024-08-01,-80.0,1
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-16,2024-08-22,275.0,144,97,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",48.45,5
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-10,2024-08-10,337.0,12,40,2024-08-01,-70.0,1
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-23,2024-08-23,363.0,152,243,2024-08-01,-37.45,1
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-16,2024-08-22,347.0,781,655,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",19.24,5
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-10,2024-08-10,613.0,97,243,2024-08-01,-60.08,1
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Nogoya Sur,2024-08-24,2024-08-29,1427.0,398,261,"2024-08-13, 2024-08-14, 2024-08-15, 2024-08-16, 2024-08-19",52.49,5
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Hernandez,2024-08-24,2024-08-29,219.0,150,48,"2024-08-22, 2024-08-23, 2024-08-30, 2024-08-31",212.5,4
