codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,Dias_Oferta,Efectividad_Ventas_por_Dia
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-23,2024-08-23,916.0,64,1,64.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-16,2024-08-22,572.0,317,7,45.29
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-10,2024-08-10,701.0,29,1,29.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Italia,2024-08-23,2024-08-23,360.0,90,1,90.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Italia,2024-08-16,2024-08-22,607.0,247,7,35.29
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-23,2024-08-23,261.0,8,1,8.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-16,2024-08-22,275.0,144,7,20.57
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-10,2024-08-10,337.0,12,1,12.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-23,2024-08-23,363.0,152,1,152.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-16,2024-08-22,347.0,781,7,111.57
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-10,2024-08-10,613.0,97,1,97.0
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Nogoya Sur,2024-08-24,2024-08-29,1427.0,398,6,66.33
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Hernandez,2024-08-24,2024-08-29,219.0,150,6,25.0
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Crespo,2024-08-24,2024-08-29,560.0,1640,6,273.33
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Nogoya Italia,2024-08-24,2024-08-29,222.0,219,6,36.5
257862,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,17.0,21,7,3.0
257862,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,36.0,10,7,1.43
257862,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,49.0,6,7,0.86
256121,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,9.0,1,7,0.14
256121,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,66.0,6,7,0.86
256121,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,5.0,13,7,1.86
87075,ACONDICIONADOR SEDAL 340ML CERAMIDAS,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,57.0,9,7,1.29
87075,ACONDICIONADOR SEDAL 340ML CERAMIDAS,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,8.0,3,7,0.43
87075,ACONDICIONADOR SEDAL 340ML CERAMIDAS,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,17.0,9,7,1.29
262497,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,24.0,13,7,1.86
87076,ACONDICIONADOR SEDAL 340ML CREMA BALANCE,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,36.0,8,7,1.14
87076,ACONDICIONADOR SEDAL 340ML CREMA BALANCE,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,44.0,17,7,2.43
87076,ACONDICIONADOR SEDAL 340ML CREMA BALANCE,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,40.0,33,7,4.71
262496,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,8.0,1,7,0.14
262496,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,18.0,19,7,2.71
262496,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,42.0,6,7,0.86
274114,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,11.0,1,7,0.14
274114,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,57.0,1,7,0.14
87073,ACONDICIONADOR SEDAL 340ML LISO PERFECTO,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,6.0,10,7,1.43
87073,ACONDICIONADOR SEDAL 340ML LISO PERFECTO,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,37.0,11,7,1.57
87073,ACONDICIONADOR SEDAL 340ML LISO PERFECTO,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,46.0,17,7,2.43
301636,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,49.0,1,7,0.14
301636,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,3.0,2,7,0.29
301636,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,10.0,17,7,2.43
87080,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,36.0,16,7,2.29
87080,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,68.0,40,7,5.71
87074,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,105.0,5,7,0.71
87074,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,56.0,18,7,2.57
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,16.0,7,7,1.0
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,48.0,11,7,1.57
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,78.0,25,7,3.57
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,23.0,8,7,1.14
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Crespo,2024-08-02,2024-08-03,125.0,38,2,19.0
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-02,2024-08-03,62.0,4,2,2.0
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-02,2024-08-03,45.0,1,2,0.5
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Hernandez,2024-08-02,2024-08-03,32.0,3,2,1.5
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Hernandez,2024-08-15,2024-08-16,0.0,7,2,3.5
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Crespo,2024-08-23,2024-08-24,121.0,50,2,25.0
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Crespo,2024-08-15,2024-08-16,141.0,93,2,46.5
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Hernandez,2024-08-23,2024-08-24,55.0,2,2,1.0
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,3.0,1,2,0.5
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,13.0,2,2,1.0
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Crespo,2024-08-23,2024-08-24,93.0,32,2,16.0
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Hernandez,2024-08-15,2024-08-16,-9.0,7,2,3.5
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Hernandez,2024-08-23,2024-08-24,50.0,2,2,1.0
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,25.0,1,2,0.5
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Crespo,2024-08-15,2024-08-16,64.0,47,2,23.5
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,29.0,4,2,2.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Crespo,2024-08-15,2024-08-16,135.0,106,2,53.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Crespo,2024-08-23,2024-08-24,137.0,57,2,28.5
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Hernandez,2024-08-15,2024-08-16,0.0,10,2,5.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Hernandez,2024-08-23,2024-08-24,53.0,6,2,3.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,-1.0,1,2,0.5
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,25.0,4,2,2.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,29.0,2,2,1.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,35.0,8,2,4.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Crespo,2024-08-15,2024-08-16,135.0,69,2,34.5
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Hernandez,2024-08-15,2024-08-16,0.0,10,2,5.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Hernandez,2024-08-23,2024-08-24,79.0,6,2,3.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,23.0,4,2,2.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,54.0,8,2,4.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,18.0,3,2,1.5
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,19.0,2,2,1.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Crespo,2024-08-23,2024-08-24,143.0,98,2,49.0
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,9.0,3,2,1.5
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,12.0,1,2,0.5
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,6.0,6,2,3.0
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Crespo,2024-08-23,2024-08-24,112.0,75,2,37.5
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Crespo,2024-08-15,2024-08-16,106.0,67,2,33.5
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Crespo,2024-08-23,2024-08-24,124.0,13,2,6.5
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Crespo,2024-08-15,2024-08-16,83.0,22,2,11.0
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,10.0,2,2,1.0
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,7.0,1,2,0.5
395517,ALIMENTO CHOCOLATE QUILLA 200 GR,JOAQUIN CUTCHET S.A.,Hernandez,2024-08-02,2024-08-10,25.0,2,9,0.22
395517,ALIMENTO CHOCOLATE QUILLA 200 GR,JOAQUIN CUTCHET S.A.,Crespo,2024-08-02,2024-08-10,122.0,134,9,14.89
395517,ALIMENTO CHOCOLATE QUILLA 200 GR,JOAQUIN CUTCHET S.A.,Nogoya Sur,2024-08-02,2024-08-10,115.0,5,9,0.56
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Nogoya Sur,2024-08-02,2024-08-10,141.0,6,9,0.67
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Nogoya Italia,2024-08-02,2024-08-10,9.0,1,9,0.11
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Crespo,2024-08-02,2024-08-10,77.0,89,9,9.89
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Hernandez,2024-08-02,2024-08-10,24.0,4,9,0.44
8431,ALIMENTO CHOCOLATE QUILLA 900G,JOAQUIN CUTCHET S.A.,Hernandez,2024-08-02,2024-08-10,10.0,11,9,1.22
8431,ALIMENTO CHOCOLATE QUILLA 900G,JOAQUIN CUTCHET S.A.,Crespo,2024-08-02,2024-08-10,51.0,75,9,8.33
202227,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO,GEORGALOS,Crespo,2024-08-02,2024-08-08,74.0,797,7,113.86
202227,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO,GEORGALOS,Hernandez,2024-08-02,2024-08-08,12.0,11,7,1.57
248753,"ALIMENTO DOG CHOW 1,5K. S/C CACH. M/P (10700)",DELLA SCHIAVA,Crespo,2024-08-16,2024-08-30,139.0,55,15,3.67
263372,ALIMENTO DOG CHOW 3KG.CA. S/C R.PEQUEÑA (10608),DELLA SCHIAVA,Crespo,2024-08-06,2024-08-30,79.0,34,25,1.36
264259,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,48.0,52,7,7.43
264259,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.,LASFOR S.R.L.,Hernandez,2024-08-09,2024-08-15,18.0,2,7,0.29
264259,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,98.0,28,7,4.0
37558,ALMOHADITAS P.PRECIO RELL.CHOCO.180,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,104.0,10,7,1.43
37558,ALMOHADITAS P.PRECIO RELL.CHOCO.180,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,14.0,40,7,5.71
37558,ALMOHADITAS P.PRECIO RELL.CHOCO.180,LASFOR S.R.L.,Nogoya Italia,2024-08-09,2024-08-15,36.0,31,7,4.43
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,107.0,8,7,1.14
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,37.0,68,7,9.71
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Nogoya Italia,2024-08-09,2024-08-15,-1.0,33,7,4.71
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Hernandez,2024-08-09,2024-08-15,18.0,3,7,0.43
37563,ALMOHADITAS P.PRECIO RELL.LIMON 180,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,21.0,18,7,2.57
37563,ALMOHADITAS P.PRECIO RELL.LIMON 180,LASFOR S.R.L.,Nogoya Italia,2024-08-09,2024-08-15,4.0,8,7,1.14
37563,ALMOHADITAS P.PRECIO RELL.LIMON 180,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,197.0,23,7,3.29
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Hernandez,2024-08-23,2024-08-29,92.0,47,7,6.71
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Crespo,2024-08-23,2024-08-29,89.0,29,7,4.14
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Italia,2024-08-23,2024-08-29,102.0,39,7,5.57
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Sur,2024-08-02,2024-08-08,130.0,3,7,0.43
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Sur,2024-08-23,2024-08-29,186.0,56,7,8.0
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Hernandez,2024-08-02,2024-08-08,10.0,4,7,0.57
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Italia,2024-08-02,2024-08-08,181.0,56,7,8.0
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Crespo,2024-08-02,2024-08-08,17.0,40,7,5.71
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Crespo,2024-08-02,2024-08-03,10.0,23,2,11.5
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Hernandez,2024-08-02,2024-08-03,15.0,2,2,1.0
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Nogoya Italia,2024-08-02,2024-08-03,13.0,2,2,1.0
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Nogoya Sur,2024-08-02,2024-08-03,48.0,2,2,1.0
224613,APERITIVO MARTINI ROSSO 1L.,CEPAS ARGENTINA S.A.,Crespo,2024-08-02,2024-08-03,7.0,12,2,6.0
224613,APERITIVO MARTINI ROSSO 1L.,CEPAS ARGENTINA S.A.,Nogoya Sur,2024-08-02,2024-08-03,23.0,1,2,0.5
224613,APERITIVO MARTINI ROSSO 1L.,CEPAS ARGENTINA S.A.,Hernandez,2024-08-02,2024-08-03,10.0,1,2,0.5
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Crespo,2024-08-09,2024-08-10,67.0,23,2,11.5
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Hernandez,2024-08-30,2024-08-31,44.0,5,2,2.5
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Sur,2024-08-30,2024-08-31,194.0,9,2,4.5
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Sur,2024-08-09,2024-08-10,228.0,6,2,3.0
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Italia,2024-08-30,2024-08-31,28.0,3,2,1.5
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Italia,2024-08-09,2024-08-10,31.0,5,2,2.5
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Hernandez,2024-08-09,2024-08-10,26.0,2,2,1.0
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Crespo,2024-08-30,2024-08-31,91.0,25,2,12.5
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Crespo,2024-08-23,2024-08-29,31.0,15,7,2.14
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Hernandez,2024-08-23,2024-08-29,57.0,4,7,0.57
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,47.0,2,7,0.29
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,25.0,2,7,0.29
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Hernandez,2024-08-23,2024-08-29,84.0,1,7,0.14
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,42.0,4,7,0.57
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,70.0,3,7,0.43
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Crespo,2024-08-23,2024-08-29,18.0,10,7,1.43
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Hernandez,2024-08-23,2024-08-29,61.0,2,7,0.29
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Crespo,2024-08-23,2024-08-29,23.0,15,7,2.14
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,20.0,3,7,0.43
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,80.0,6,7,0.86
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,60.0,1,7,0.14
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Crespo,2024-08-23,2024-08-29,21.0,20,7,2.86
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,43.0,7,7,1.0
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Hernandez,2024-08-23,2024-08-29,71.0,6,7,0.86
260807,AROMATIZANTE POETT 360ML ESPIRITU PLAY,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,43.0,5,7,0.71
260807,AROMATIZANTE POETT 360ML ESPIRITU PLAY,CLOROX,Crespo,2024-08-23,2024-08-29,39.0,10,7,1.43
260807,AROMATIZANTE POETT 360ML ESPIRITU PLAY,CLOROX,Hernandez,2024-08-23,2024-08-29,60.0,1,7,0.14
259293,AROMATIZANTE POETT 360ML LAVANDA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,30.0,9,7,1.29
259293,AROMATIZANTE POETT 360ML LAVANDA,CLOROX,Hernandez,2024-08-23,2024-08-29,74.0,2,7,0.29
259293,AROMATIZANTE POETT 360ML LAVANDA,CLOROX,Crespo,2024-08-23,2024-08-29,20.0,22,7,3.14
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Hernandez,2024-08-23,2024-08-29,49.0,8,7,1.14
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,11.0,4,7,0.57
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,60.0,2,7,0.29
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Crespo,2024-08-23,2024-08-29,28.0,11,7,1.57
259292,AROMATIZANTE POETT 360ML PRIMAVERA,CLOROX,Hernandez,2024-08-23,2024-08-29,30.0,1,7,0.14
259292,AROMATIZANTE POETT 360ML PRIMAVERA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,73.0,2,7,0.29
259292,AROMATIZANTE POETT 360ML PRIMAVERA,CLOROX,Crespo,2024-08-23,2024-08-29,14.0,7,7,1.0
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,120.0,2,7,0.29
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,40.0,3,7,0.43
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Hernandez,2024-08-23,2024-08-29,64.0,5,7,0.71
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Crespo,2024-08-23,2024-08-29,29.0,21,7,3.0
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Nogoya Sur,2024-08-23,2024-08-29,1555.0,353,7,50.43
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Nogoya Italia,2024-08-23,2024-08-29,25.0,187,7,26.71
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Hernandez,2024-08-23,2024-08-29,262.0,150,7,21.43
